Postion|$|title|$|website|$|location|$|rating|$|reviews|$|hourlyRate|$|miniProjSize|$|empSize
44|$|Clarika|$|https://www.clarikagroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|New York, NY|$|4.8|$|14 reviews|$|$25 - $49 / hr|$|$10,000+|$|50 - 249
45|$|Softensy|$|https://softensy.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Dnipropetrovs'k, Ukraine|$|5.0|$|4 reviews|$|$25 - $49 / hr|$|$5,000+|$|10 - 49
46|$|hedgehog lab|$|https://hedgehoglab.com/?utm_source=clutch&utm_medium=global_developers_list&utm_campaign=clutch|$|Newcastle upon Tyne, United Kingdom|$|4.7|$|48 reviews|$|$100 - $149 / hr|$|$100,000+|$|50 - 249
47|$|NineTwoThree Venture Studio|$|http://www.ninetwothree.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Danvers, MA|$|4.9|$|18 reviews|$|$50 - $99 / hr|$|$100,000+|$|50 - 249
48|$|Zco|$|https://www.zco.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Nashua, NH|$|4.8|$|51 reviews|$|$25 - $49 / hr|$|$10,000+|$|250 - 999
49|$|Mtoag Technologies Pvt LTD.|$|https://www.mtoag.com/mobile-apps-development.htm|$|Jaipur, India|$|4.9|$|10 reviews|$|$25 - $49 / hr|$|$5,000+|$|50 - 249
50|$|Mutual Mobile|$|https://mutualmobile.com?utm_medium=referral&utm_source=clutch&utm_campaign=Clutch%20Sponsorship&utm_content=Mobile%20Application%20Developers|$|Austin, TX|$|4.8|$|15 reviews|$|$150 - $199 / hr|$|$25,000+|$|50 - 249
51|$|Eleviant Tech|$|https://www.eleviant.com/mobile-app-development-services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Richardson, TX|$|4.7|$|17 reviews|$|$25 - $49 / hr|$|$25,000+|$|250 - 999
52|$|AppTailors|$|https://apptailors.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Poznań, Poland|$|5.0|$|6 reviews|$|$50 - $99 / hr|$|$10,000+|$|10 - 49
53|$|Ajath|$|http://www.ajath.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-app-developers|$|دبي, United Arab Emirates|$|4.9|$|30 reviews|$|$25 - $49 / hr|$|$10,000+|$|50 - 249
54|$|Moove It|$|https://moove-it.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-development|$|Austin, TX|$|4.8|$|23 reviews|$|$50 - $99 / hr|$|$100,000+|$|50 - 249
55|$|Steelkiwi|$|https://steelkiwi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Belmont, CA|$|4.8|$|58 reviews|$|$25 - $49 / hr|$|$50,000+|$|50 - 249
56|$|Sapphire Software Solutions|$|https://sapphiresolutions.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Ahmedabad, India|$|5.0|$|190 reviews|$|< $25 / hr|$|$5,000+|$|250 - 999
57|$|Onetree|$|https://onetree.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Montevideo, Uruguay|$|4.7|$|11 reviews|$|$50 - $99 / hr|$|$10,000+|$|50 - 249
58|$|Clover Studio|$|https://clover.studio|$|Zagreb, Croatia|$|5.0|$|11 reviews|$|$25 - $49 / hr|$|$5,000+|$|10 - 49
59|$|You are launched|$|https://www.urlaunched.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Dnipro, Ukraine|$|5.0|$|34 reviews|$|$25 - $49 / hr|$|$25,000+|$|10 - 49
60|$|Origami Studios|$|https://origamistudios.us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Parsippany-Troy Hills, NJ|$|4.9|$|37 reviews|$|$25 - $49 / hr|$|$10,000+|$|10 - 49
61|$|Enozom Software|$|https://enozom.com|$|Alexandria, Egypt|$|4.9|$|27 reviews|$|$25 - $49 / hr|$|$50,000+|$|50 - 249
62|$|Magora Systems|$|https://www.magora-systems.com/?utm_source=clutch.co&utm_medium=sponsored&utm_campaign=directory-mobile-application-developers|$|London, United Kingdom|$|4.7|$|57 reviews|$|$50 - $99 / hr|$|$10,000+|$|50 - 249
63|$|Futured|$|http://www.futured.app/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-app-developers|$|Brno, Czech Republic|$|5.0|$|21 reviews|$|$50 - $99 / hr|$|$50,000+|$|50 - 249
64|$|Launchpad App Development|$|https://www.launchpadapps.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Richmond, Australia|$|5.0|$|21 reviews|$|$50 - $99 / hr|$|$10,000+|$|10 - 49
65|$|Somnio Software|$|https://somniosoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Montevideo, Uruguay|$|5.0|$|17 reviews|$|$50 - $99 / hr|$|$10,000+|$|10 - 49
66|$|Alphonic Network Solutions|$|https://www.alphonic.in/?utm_source=clutch.co&utm_medium=mobile-application-developers|$|Jaipur, India|$|4.6|$|15 reviews|$|$25 - $49 / hr|$|$1,000+|$|50 - 249
67|$|GeekyAnts|$|https://geekyants.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|San Francisco, CA|$|4.8|$|61 reviews|$|$25 - $49 / hr|$|$5,000+|$|250 - 999
68|$|ThinkUp|$|https://thinkupsoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Montevideo, Uruguay|$|5.0|$|11 reviews|$|$50 - $99 / hr|$|$10,000+|$|10 - 49
69|$|Big Nerd Ranch|$|https://www.bignerdranch.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Atlanta, GA|$|4.9|$|5 reviews|$|$150 - $199 / hr|$|$100,000+|$|250 - 999
70|$|AppUnite|$|https://appunite.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers-global|$|Poznań, Poland|$|4.9|$|15 reviews|$|$50 - $99 / hr|$|$50,000+|$|50 - 249
71|$|New Line Technologies|$|http://newline.tech/?utm_source=clutch.co&utm_medium=referral|$|Kharkiv, Ukraine|$|4.9|$|24 reviews|$|$25 - $49 / hr|$|$25,000+|$|50 - 249
72|$|Calibrate Software|$|https://calibrated.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Chicago, IL|$|4.9|$|17 reviews|$|$50 - $99 / hr|$|$25,000+|$|10 - 49
73|$|SparxIT|$|https://www.sparxitsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=clutch-mobile-application-developers|$|New York, NY|$|4.8|$|62 reviews|$|$25 - $49 / hr|$|$10,000+|$|250 - 999
74|$|Apptension|$|https://www.apptension.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Poznań, Poland|$|4.8|$|18 reviews|$|$50 - $99 / hr|$|$25,000+|$|50 - 249
75|$|Horus|$|https://horus.com.uy/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Montevideo, Uruguay|$|5.0|$|6 reviews|$|$50 - $99 / hr|$|$10,000+|$|2 - 9
76|$|SoftwareHut|$|https://www.softwarehut.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Białystok, Poland|$|4.8|$|25 reviews|$|$25 - $49 / hr|$|$5,000+|$|250 - 999
77|$|AA+ Flutter Developers | Codigee|$|http://www.codigee.com/clutch|$|Poznań, Poland|$|5.0|$|8 reviews|$|$25 - $49 / hr|$|$10,000+|$|10 - 49
78|$|Heveloon ltd|$|https://www.heveloon.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers|$|London, United Kingdom|$|4.9|$|4 reviews|$|$100 - $149 / hr|$|$25,000+|$|10 - 49
79|$|Tooploox|$|https://www.tooploox.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Wrocław, Poland|$|4.9|$|26 reviews|$|$100 - $149 / hr|$|$25,000+|$|50 - 249
80|$|Rubikal|$|https://rubikal.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Alexandria, Egypt|$|4.8|$|15 reviews|$|$25 - $49 / hr|$|$25,000+|$|50 - 249
81|$|MobileFolk|$|https://www.mobilefolk.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Toronto, Canada|$|5.0|$|8 reviews|$|$50 - $99 / hr|$|$25,000+|$|10 - 49
82|$|Old.St Labs|$|https://old.st/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|London, United Kingdom|$|5.0|$|9 reviews|$|$50 - $99 / hr|$|$5,000+|$|10 - 49
83|$|Coherent Lab LLP|$|https://www.coherentlab.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Jaipur, India|$|4.9|$|24 reviews|$|< $25 / hr|$|$1,000+|$|10 - 49
84|$|Mindgrub|$|http://www.mindgrub.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Baltimore, MD|$|4.8|$|6 reviews|$|$100 - $149 / hr|$|$50,000+|$|50 - 249
85|$|Aloa|$|https://aloa.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Irving, TX|$|4.9|$|12 reviews|$|$50 - $99 / hr|$|$1,000+|$|2 - 9
86|$|Ars Futura|$|https://arsfutura.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Zagreb, Croatia|$|5.0|$|13 reviews|$|$50 - $99 / hr|$|$25,000+|$|10 - 49
87|$|Instil Software|$|https://www.instil.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Belfast, United Kingdom|$|4.9|$|7 reviews|$|$100 - $149 / hr|$|$50,000+|$|50 - 249
88|$|Perpetio|$|http://perpet.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Tallinn, Estonia|$|4.9|$|7 reviews|$|$25 - $49 / hr|$|$5,000+|$|10 - 49
89|$|Mobile Reality|$|https://mobilereality.pl/en/mobile-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Warszawa, Poland|$|5.0|$|9 reviews|$|$25 - $49 / hr|$|$5,000+|$|10 - 49
90|$|Develocraft Jamstack|$|https://develocraft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Gdańsk, Poland|$|4.7|$|10 reviews|$|$50 - $99 / hr|$|$10,000+|$|50 - 249
91|$|Zero Molecule|$|https://zeromolecule.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Zagreb, Croatia|$|5.0|$|7 reviews|$|$50 - $99 / hr|$|$10,000+|$|2 - 9
92|$|Begin, LLC|$|https://beginsoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Denver, CO|$|4.8|$|16 reviews|$|$100 - $149 / hr|$|$5,000+|$|2 - 9
93|$|Busy Human|$|http://busyhuman.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Orem, UT|$|5.0|$|4 reviews|$|$50 - $99 / hr|$|$1,000+|$|2 - 9
94|$|techahead|$|https://www.techaheadcorp.com/?utm_source=clutch&utm_medium=referral&utm_campaign=main-app-dev|$|Agoura Hills, CA|$|4.8|$|70 reviews|$|$25 - $49 / hr|$|$25,000+|$|50 - 249
95|$|Brainvire Infotech Inc|$|https://www.brainvire.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Milpitas, CA|$|4.8|$|198 reviews|$|$25 - $49 / hr|$|$25,000+|$|250 - 999
96|$|Droids On Roids|$|https://www.thedroidsonroids.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers-global|$|Wrocław, Poland|$|4.9|$|60 reviews|$|$50 - $99 / hr|$|$50,000+|$|50 - 249
97|$|The NineHertz|$|https://theninehertz.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Cincinnati, OH|$|4.8|$|96 reviews|$|< $25 / hr|$|$5,000+|$|50 - 249
98|$|TekRevol|$|https://www.tekrevol.com/?utm_source=clutch-referrer&utm_medium=clutch-profile&utm_campaign=clutch&utm_id=clutch|$|Houston, TX|$|4.9|$|56 reviews|$|$50 - $99 / hr|$|$25,000+|$|250 - 999
99|$|Apadmi|$|https://www.apadmi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile|$|Salford, United Kingdom|$|4.8|$|28 reviews|$|$300+ / hr|$|$100,000+|$|50 - 249
100|$|Miquido|$|https://www.miquido.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Kraków, Poland|$|4.9|$|42 reviews|$|$50 - $99 / hr|$|$25,000+|$|50 - 249
101|$|Ackee|$|https://www.ackee.agency?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Prague, Czech Republic|$|4.9|$|25 reviews|$|$50 - $99 / hr|$|$25,000+|$|50 - 249
102|$|ArcTouch|$|https://arctouch.com/contact/?utm_source=clutch&utm_medium=referral&utm_campaign=listings&utm_content=main+link|$|San Francisco, CA|$|4.9|$|28 reviews|$|$100 - $149 / hr|$|$100,000+|$|50 - 249
103|$|Atomic Object|$|https://atomicobject.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Grand Rapids, MI|$|4.9|$|22 reviews|$|$150 - $199 / hr|$|$25,000+|$|50 - 249
104|$|RichestSoft|$|https://richestsoft.com/web-design-company|$|Sahibzada Ajit Singh Nagar, India|$|4.8|$|46 reviews|$|< $25 / hr|$|$1,000+|$|10 - 49
105|$|Deviniti|$|https://deviniti.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Wrocław, Poland|$|5.0|$|30 reviews|$|$50 - $99 / hr|$|$10,000+|$|250 - 999
106|$|Riseapps|$|https://riseapps.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Tallinn, Estonia|$|4.9|$|43 reviews|$|$25 - $49 / hr|$|$50,000+|$|50 - 249
107|$|nomtek|$|https://www.nomtek.com/?utm_source=Clutch&utm_medium=referral&utm_campaign=Clutch%20Global|$|Wrocław, Poland|$|4.9|$|33 reviews|$|$50 - $99 / hr|$|$50,000+|$|50 - 249
108|$|Blink22|$|http://www.blink22.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Dubai, United Arab Emirates|$|4.9|$|20 reviews|$|$50 - $99 / hr|$|$25,000+|$|50 - 249
109|$|WDI|$|https://www.wdipl.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Mumbai, India|$|5.0|$|32 reviews|$|< $25 / hr|$|$25,000+|$|50 - 249
110|$|Designli|$|https://designli.co?utm_source=clutch.co&utm_medium=referral|$|Greenville, SC|$|5.0|$|44 reviews|$|$100 - $149 / hr|$|$5,000+|$|10 - 49
111|$|Q agency|$|https://q.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Zagreb, Croatia|$|4.8|$|27 reviews|$|$50 - $99 / hr|$|$100,000+|$|250 - 999
112|$|CreateThrive|$|https://createthrive.com|$|Montevideo, Uruguay|$|5.0|$|21 reviews|$|$50 - $99 / hr|$|$10,000+|$|10 - 49
113|$|Dev Technosys|$|https://devtechnosys.com/mobile-app-development.php?utm_source=clutch.co&utm_medium=referral|$|Commerce, CA|$|4.8|$|143 reviews|$|$25 - $49 / hr|$|$5,000+|$|50 - 249
114|$|Emizen Tech|$|https://www.emizentech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers|$|Jaipur, India|$|4.9|$|72 reviews|$|$25 - $49 / hr|$|$10,000+|$|50 - 249
115|$|App Boxer|$|https://appboxer.com.au/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory|$|Baulkham Hills, Australia|$|4.9|$|18 reviews|$|$50 - $99 / hr|$|$10,000+|$|10 - 49
116|$|Xmartlabs|$|https://xmartlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|Montevideo, Uruguay|$|5.0|$|25 reviews|$|$50 - $99 / hr|$|$10,000+|$|50 - 249
117|$|Sigma Software Group|$|https://sigma.software/#utm_source=clutch.co|$|L'viv, Ukraine|$|4.8|$|18 reviews|$|$50 - $99 / hr|$|$50,000+|$|1,000 - 9,999
118|$|Fueled|$|https://www.fueled.com/?utm_source=clutch&utm_medium=referral&utm_campaign=fueledclutch|$|New York, NY|$|4.9|$|37 reviews|$|$150 - $199 / hr|$|$75,000+|$|50 - 249
119|$|FreshWorks Studio|$|https://freshworks.io/?utm_source=clutch.co&utm_medium=referral|$|Victoria, Canada|$|4.6|$|53 reviews|$|$100 - $149 / hr|$|$100,000+|$|50 - 249
120|$|Core Mobile App Development|$|http://www.coremobileapps.com/?utm_source=clutch.co&utm_medium=referral|$|Orlando, FL|$|5.0|$|30 reviews|$|$50 - $99 / hr|$|$10,000+|$|10 - 49
121|$|NERDZ LAB|$|https://nerdzlab.com/mobile-application-development-services/?utm_source=clutch.co/&utm_medium=referral&utm_campaign=directory-mobile-application-developers|$|L'viv, Ukraine|$|5.0|$|27 reviews|$|$25 - $49 / hr|$|$10,000+|$|50 - 249
